Table 1
County Name,Flown Over X Times,Lattitude Centroid,Longitude Centroid,
'Lake County',828,42.325322722,-87.6311845438,
'Kit Carson County',380,39.3054413227,-102.602887422,
'Johnson County',99,36.4549370868,-81.8517719844,
'Carroll County',73,38.6678584122,-85.123590032,
'Polk County',161,35.1199026751,-84.5233230209,
'Tom Green County',278,31.404399317,-100.462072838,
'Monroe County',72,41.0297829981,-92.8689876816,
'Dillon County',127,34.3915831664,-79.3788986183,
'Furnas County',95,40.1764658834,-99.9122732442,
'Branch County',140,41.9161186535,-85.0590443604,
'Pendleton County',134,38.6956276543,-84.3602721797,
'Franklin County',190,35.1549608138,-86.0921752079,
'Grady County',240,30.8746728358,-84.2344263446,
'Plumas County',134,40.0046824769,-120.838597596,
'Wasatch County',102,40.3307738015,-111.16818403,
'Cuyahoga County',369,41.6350590585,-81.7001959208,
'Crockett County',80,35.8135384798,-89.1395281511,
'Sierra County',105,33.1304910055,-107.192378947,
'Morrill County',101,41.7159996542,-103.010548763,
'Chautauqua County',127,37.1500572155,-96.2453782628,
'Randolph County',176,33.2937873448,-85.4590701568,
'York County',560,34.9747567032,-81.1843527866,
'Washington County',225,38.5999841735,-86.1053059023,
'Camas County',79,43.4633261176,-114.805776873,
'Lewis County',87,38.9958676803,-80.5021593376,
'Payne County',142,36.0772896934,-96.9756358548,
'Nelson County',157,37.805131267,-85.4659885855,
'Colonial Heights city',95,37.2650404186,-77.3969067219,
'Franklin County',150,42.5831156958,-72.5918576846,
'Chatham County',390,35.7025721296,-79.2552758614,
'Kerr County',106,30.0614838052,-99.3501597562,
'Chickasaw County',45,33.9207998598,-88.9478637891,
'Charlton County',356,30.7817272016,-82.1376881412,
'Kootenai County',242,47.6743566297,-116.701762031,
'Brazos County',159,30.6607989734,-96.3023849451,
'Franklin County',249,36.0827733527,-78.2856965824,
'Henry County',51,36.6827726796,-79.873952503,
'Wayne County',1383,42.2847454761,-83.2611328686,
'Scioto County',55,38.803961942,-82.992831025,
'Clay County',104,36.55115711,-85.543859188,
'Muhlenberg County',107,37.2157922672,-87.142041664,
'Miami-Dade County',2249,25.6089674858,-80.4986673175,
'Amherst County',55,37.6047919172,-79.1451431275,
'Fayette County',205,29.8767867938,-96.919761718,
'Washington County',265,30.2145304261,-96.4034437639,
'Cameron County',234,41.4368044101,-78.2037773985,
'Clark County',160,39.3335754723,-87.7877174066,
'Black Hawk County',145,42.470095744,-92.3088197079,
'Rock Island County',172,41.4673285687,-90.5674126031,
'Carroll County',68,40.582858561,-86.5634841334,
'Philadelphia County',756,40.0076360466,-75.1339446794,
'Watonwan County',26,43.9784278928,-94.6140606084,
'Elmore County',130,43.3538854014,-115.469262353,
'Bartow County',326,34.2376620909,-84.8403384771,
'Ozark County',83,36.6493218817,-92.4446635679,
'Butte County',64,43.7229327365,-113.172032247,
'Weber County',216,41.2698430321,-111.913383934,
'Marion County',90,39.8059654072,-91.622348013,
'Clinton County',168,44.7462263534,-73.6781737453,
'Aiken County',244,33.544295273,-81.6346948405,
'Newberry County',135,34.2898117968,-81.6001198539,
'Yankton County',67,43.0089657475,-97.3947651219,
'Wyoming County',185,41.5183294763,-76.0165514362,
'Taylor County',106,37.3664545067,-85.3278346717,
'Logan County',109,37.8315338847,-81.9353404844,
'Miami County',89,38.5635832261,-94.838056975,
'Prince William County',363,38.701685538,-77.4776193547,
