resourceID,description,startDateTime,company,vehicle
mis_1kg0ucns8,Starlink Group 4-10,2022-03-09T13:44:40.000Z,SpaceX,Falcon 9 Block 5
mis_1r1oka5w1,Starlink Group 4-12,2022-03-19T04:42:10.000Z,SpaceX,Falcon 9 Block 5
mis_47dd0mzma,Axiom-1,2022-04-08T15:16:51.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_1nocgiarb,Crew-4,2022-04-27T07:52:35.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_1gtewqch7,Transporter-4,2022-04-01T16:23:57.000Z,SpaceX,Falcon 9 Block 5
mis_1uunna7dz,NROL-85,2022-04-17T13:12:52.000Z,SpaceX,Falcon 9 Block 5
mis_1ruq8s706,Starlink Group 4-14,2022-04-21T17:51:20.000Z,SpaceX,Falcon 9 Block 5
mis_s3kunu639,Starlink Group 4-16,2022-04-29T21:26:50.000Z,SpaceX,Falcon 9 Block 5
mis_mm39v9lq2,Axiom-1 Return,2022-04-25T16:14:15Z,SpaceX,Falcon 9 + Crew Dragon
mis_1bn5pg7lf,Starlink Group 4-17,2022-05-06T09:41:40.000Z,SpaceX,Falcon 9 Block 5
mis_1xbuexs6h,Starlink Group 4-13,2022-05-13T22:06:40.000Z,SpaceX,Falcon 9 Block 5
mis_clu12vetu,Crew-3 Return,2022-05-06T03:48:00Z,SpaceX,Falcon 9 + Crew Dragon
mis_1p47qc17z,Starlink Group 4-15,2022-05-14T20:40:30.000Z,SpaceX,Falcon 9 Block 5
mis_xfi16wg1u,Starlink Group 4-18,2022-05-18T10:59:20.000Z,SpaceX,Falcon 9 Block 5
mis_bwjsqdg6d,CRS-25,2022-07-15T00:44:00.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_1rjo5dey7,Transporter-5,2022-05-25T18:34:40.000Z,SpaceX,Falcon 9 Block 5
mis_o4m5ya99x,Nilesat-301,2022-06-08T21:03:40.000Z,SpaceX,Falcon 9 Block 5
mis_1o4ta6qtf,Starlink Group 4-19,2022-06-17T16:09:00.000Z,SpaceX,Falcon 9 Block 5
mis_1afrbp4ju,SARah 1,2022-06-18T14:18:40.000Z,SpaceX,Falcon 9 Block 5
mis_o95yq5tvq,SES-22,2022-06-29T21:03:40.000Z,SpaceX,Falcon 9 Block 5
mis_1je5dmm43,Globalstar-2,2022-06-19T04:26:40.000Z,SpaceX,Falcon 9 Block 5
mis_1irui1bk4,Starlink Group 4-21,2022-07-07T13:10:40.000Z,SpaceX,Falcon 9 Block 5
mis_1o4jb2p4g,CAPSTONE,2022-06-28T09:55:32.000Z,Rocket Lab,Electron
mis_1qr9b44lj,USSF-12,2022-07-01T23:14:40.000Z,United Launch Alliance,Atlas V 541
mis_ujr58lg09,Starlink Group 3-1,2022-07-11T01:39:20.000Z,SpaceX,Falcon 9 Block 5
mis_we1w99ucv,Starlink Group 4-22,2022-07-17T14:19:40.000Z,SpaceX,Falcon 9 Block 5
mis_184hwrpt7,Starlink Group 3-2,2022-07-22T17:39:20.000Z,SpaceX,Falcon 9 Block 5
